	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_40832	57	193.12	637.88	799	653	307.88	9.12	41	100	151	213	208	218	308.88	702.12	723.12	418.88	468	388.92	379.4	1260.8	1795.56	1109.28	476.04	519.4	1278.96	2393.24	2733.92	2608.4	2492.56	2106.6	1730.16	1648.6	1351.56	831.76	662.84	481	355	551.48	692.52	348.52	194.48	326.24	356.76	203.76	152.24	170	252	300	96
TSS_40836	597.32	168	123.68	99.92	325.84	1194.4	1086.08	823.36	938.4	554	452.76	691.24	931.76	675.24	348	382	333.48	79.52	266.6	662.4	678.24	535.2	447.72	373.44	499.88	1357.8	1982.8	1803.12	2508.44	4218	3939.76	2380.44	1319.84	1320.32	1436.72	616.28	465	333.28	137.72	99.72	18.32	280.96	530.96	622.48	944.56	904.56	556.2	386.24	217.24	105.76
TSS_40837	288.4	101	123	200	77	81.64	288.12	537.84	609.64	319.52	160.24	245.56	315.44	516.48	550.48	614.76	1277.92	1606.24	1675.32	1587.56	1355.16	1417.68	814.68	322.72	615.32	1702.12	4369.68	5505.44	4169	2491.52	2045.64	4014.96	8004.88	14235.3	14083	8869.32	5973.64	4670.12	4147.84	3519.92	4207.36	4427.04	3324.44	2342	2589.6	2931.36	2172.36	2202.08	2526.16	2276.56
TSS_40838	623.92	1000.2	838.96	601.56	237.12	125.16	259	196	166.92	491.08	610.36	785.64	1171.72	1206.96	1891.12	3504	3220.96	1774.72	1437.64	1763.04	2002.16	1249.56	398.12	116	441.56	2082.44	2346.72	1290.04	1370.96	2058	2754.16	2456.72	1874.64	1986.08	2875.84	3379.68	3088.56	3425.28	4303.56	3517.84	1927.8	1324.12	701.96	321.52	366.76	261.16	261.6	398.52	1033.48	1529.6
TSS_40845	119.2	263	481.52	357.08	181.28	229.92	218	269.48	471.12	491.48	656.32	510.04	134.04	202.4	237.64	254.68	404.64	437.12	396.2	383.52	689.32	1093.76	1439.68	1231.96	589.36	653.6	1807.36	3844.24	4373.4	2780.44	1368.84	788.88	683.04	1346.24	1970.96	1979.92	1051.08	103.24	50.04	99.96	110.96	113.48	187.64	713.48	1075.64	827.8	592.72	470.28	446.48	473.52
TSS_40851	957.24	962.76	644.76	376.24	260	397	600	305	0	63.04	216.96	314.16	1443.2	2635.68	2261.6	1566.84	930.52	758.28	1359.32	1861.2	2010.6	1946.88	1836.56	1247.08	351.48	544.6	839.76	362.24	50	69.2	350.08	484.52	301.92	320.28	355.04	243.96	645.08	1002.92	647.88	223.12	225	256	75	8.96	120.04	361.04	707.96	1357	1088	397.44
TSS_40860	256.04	429.96	525.76	340.24	489	356	140	359	390.72	245.28	312.28	427.72	279.36	311.64	763.64	891.36	831.2	681.8	364.04	687	1100.8	1041.12	584.96	194.44	306.64	524.6	736.2	853.24	640.96	502	447.2	174.72	369.56	697.24	452.92	250.72	222.52	186.12	338	353	357.68	592.32	375.32	26.68	190	272	396	391	509	776.04
TSS_40861	290	828	722	278.72	298	524.56	390	144	438.68	654.52	460.56	246.2	102.44	110.32	167.32	439.88	635.8	1271.8	1875.2	1813.88	1788.12	1301.72	1458.28	1696.4	1182.48	1213.44	1735.92	2039.44	1455.2	437.12	2.64	333.36	497.36	279.64	413	524	287	135	100	31.6	185.4	749.4	983.04	1153.4	2244.72	1662	336.44	422.56	510.44	633.92
TSS_40865	800.92	629.2	514.2	288.88	666.48	686.48	133.52	62	100	40.88	153.12	197.12	142.56	453.32	713.92	790.16	1073.32	1062.52	982.8	1588.28	2562.28	2825.68	2878.28	2629.52	1649	1309.16	2073.48	2086.64	2288.52	2650	2176.48	2852.72	3755.24	2660.44	1124	1482.6	1608.52	739.76	324.32	523.56	614.16	656.6	810.04	577.04	316.96	312	153	131	618	811
TSS_40874	308.4	400.2	534	348.8	363.2	708.4	1212.4	1525.6	973	217	0	8.8	472.2	1328.2	1729	2225	2536.8	2115.4	2582.2	3008.6	2214.4	1661.6	1264.4	541.4	510.2	1491.2	2487.8	3095.6	3188.8	2359	1233.6	944	1063.6	918.4	653.8	428.8	398.2	318	165	149	100	7	284	480	521.6	827.4	761.4	404.6	260	207.2
TSS_40876	0	0	25	100	163	574	618	308	359	318	135	0	0	81.76	1174.08	2347.4	2123.2	2613.2	3895.64	3768.08	2618.28	2043.72	2500.28	2678	1739	1256.4	3003.56	4645.96	4743.72	4571.4	4023.8	3901.8	4116.64	3358.48	2598.48	1489.96	963.28	1308.08	1023.16	1230.64	1180.88	505.12	96.8	311.6	1001.8	838.68	380.12	249.72	18.24	248.28
TSS_40878	629.44	868.96	575.56	550.76	400	36	69	118	139.16	272.36	401.32	394.64	505	876.68	1048.08	979.24	995	1944.2	2976.44	3113.24	2835	1899.96	820	393.52	997.16	1526.64	1862.76	2884.8	2879.68	2119.4	2430.32	2452.44	1791.88	1552.08	849.2	72.8	0	63.24	625.48	1436.04	1413.64	893.88	465.72	333.72	432.92	467.36	339.24	329.56	673.2	674.2
TSS_40882	373	96	4.8	92.2	155.2	184.8	231	123	34	129	241	977	1901	1823.6	1432.2	1841.2	2422.2	2949.8	4259.6	3599	2327.4	2276	2621.8	2746	1757.8	1621.4	2287	2409.4	2113.6	2217.8	1859	1033	1036.4	1580.2	1972	2714.6	4201.4	4084	3271.2	3499.6	3192.8	2494.6	1914	1681	3287	3651.6	1480.2	385.2	288.4	291
TSS_40884	1281	727	196	373	323	276	374	746	1858	2932	2867	2299	1703	1066	1514	2203	2816	2976	3882	4977	3969	2920	1936	823	1267	4211	5744	10382	18895	23507	21007	16978	17319	15019	14224	15456	16297	15235	13174	13983	14064	14634	13674	10680	9175	9519	8647	7218	7441	9363
TSS_40890	1826.04	1106.32	926.32	1278	1502.36	875.44	861.28	1570.2	1703.32	1974.44	1940.56	1399.96	1132.92	1021.92	1645.96	3416.4	4187.6	3767.8	4472.56	3960.6	2903.72	2607.08	2627.4	2990.12	3188.4	4043.72	3926.04	3351.76	3576.64	4112	5339.52	4282.08	2333.64	2228.88	2144.16	1913.84	1533.92	1630.72	2801.72	2493.96	1189.48	655.72	199.64	100.36	274.2	642.2	862.96	749.24	468.84	295.56
