	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_44808	72	100	28	0	183.28	707.72	757.28	605.72	459.44	86.56	60	216	604	556	321	1073.4	1929.72	1544.44	1262.56	3108.72	5823.72	4872.64	1556.56	1429.56	2424.32	1725.04	1159.68	1291.2	1507.24	3054.12	4442.72	3228.12	2002.24	2161.48	1887.52	1296.6	1178.88	764.2	239.84	78.48	90	290	314.48	410.52	507.52	420.28	581.6	573.8	206.4	131.4
TSS_44811	432.52	839.52	670.52	448.96	299.96	511.04	397	0.16	256.4	1053.28	892.6	837.56	1079	772	784.92	995.72	1202.96	1082.52	1653.64	1780.2	1983.12	2956.2	3257.88	2398.88	1777.12	2982.8	4051.92	3293.12	2002.24	2281.76	2558.2	1471.8	923	766.32	857.68	701.04	437.96	626.64	285.8	516.56	1131.56	883.44	264	0	21	690	879	290	426.28	1539.72
TSS_44812	532.4	102.6	178.16	556.84	676.84	343.16	55	0	417.6	898.4	482.4	678.6	1378	897	882	1073.68	1103.32	1477.64	2104.92	4856	8369.12	9469.72	6331.36	1946.56	620.96	2200.2	2746.24	1102.2	731.32	1189.76	723.96	1189.04	1587.8	767.2	871	1021	450	33	115	494	385	82	468	924	704	200	28	457.32	699.68	242.68
TSS_44815	0	180	300	188	100	42	100	134	100.12	220.88	299.88	261.12	403.56	1948.64	2518.6	2226.48	3180.64	4193.88	3771.36	2600.56	2233.76	1629.52	1857.32	2261.28	2761.4	4473.04	4458.44	3422.56	2868.84	3161.2	3603.32	2489.84	2018.76	2134	1571.4	1881.12	2148.24	1047.4	294.68	104.84	142.56	739.8	862.72	322.84	212.4	463	394.4	241.6	397.6	232.4
TSS_44820	0	0	0	0	0	33	100	295	455	372	145	0	13.6	386.8	1080	1404.2	2084.6	2737.8	3558.8	3332.6	2740.6	2260.6	2074	3086.6	3355.8	3277.4	4283.6	4516.8	4863	7553.8	8600.4	7048.6	4497.2	2461.6	1594.4	1342.2	1072.4	727.6	801.6	1088.4	680	75	0	134	200	238	447	328	53	18
TSS_44837	1889.08	2758.04	3278.6	1537.08	731.28	1320	936.64	1401.96	2435.52	1920.12	980.24	1254.92	1834.2	2316.44	3468.44	4566.88	5715	4904.52	3167.8	2799.24	2451.08	2647.4	3007.44	2823.6	2139.76	2419	3318.12	3000.32	2404.12	2367.16	1653.56	569.44	836.12	1155.32	1099.28	1909.04	2090.04	1068.4	798.08	934.32	508.4	189	330	259	93.92	274.08	376.08	146.16	99.76	247.76
TSS_44839	232.2	309.8	1121	1075	439	320	91	9.6	271.4	825.4	728.6	212	100	69.8	258.8	774	646.6	380.4	294.6	48.4	638.8	2264	2088.2	1319	2720	3544.4	3087.2	3137.2	3521.2	2444.8	1083.8	1102.4	1429.8	1068.6	453	604.2	737.4	870.8	1808.4	1753.2	848.6	828.4	790.4	569.4	484.8	198	238.4	376	198	253.8
TSS_44843	344	479	269	326	747	553	55	184	325	272	590	780	658	464	112	0	0	237	300	294	300	105	478	1122	1413	2508	2910	3117	5608	7257	6819	7098	5064	1571	1188	1548	2249	3698	3103	1869	1847	976	121	48	269	673	1137	1286	994	530
TSS_44846	583	664	456	338	107	50	260	987	1111	573	329	90	150	445	1583	1868	1001	1129	1551	1680	1252	2279	3239	1744	1054	1760	1458	1479	2359	2713	3564	2947	3036	3466	2437	1490	356	352	721	539	339	255	196	454	825	1335	979	343	300	122
TSS_44847	64	124	461.68	866.56	1368.08	1359.44	592.24	150	80.04	92.96	97.96	113.04	200	151	164	243	216	399.24	970.76	1000.76	476.24	362	365	571	1077.92	2170.08	4281.32	5263.4	4216.44	3545.08	3634.48	2963.6	2723.6	2133.8	787.84	776.76	1237.36	1347.48	1576.56	1563.24	1162.24	847.96	960.08	1290.16	998.12	1321.72	2174.08	1526.44	377.96	17.28
TSS_44851	511	1352	1189	403	224	245	76	0	38.16	802.84	1261.84	525.16	100	72	1.44	253.56	398.56	185.44	196.32	444.88	1327.68	2802.92	2683.04	1660.52	1426.8	1558.48	1671.08	1176.8	1180.76	2049.28	1876.24	1083.92	1572.32	2516.16	2553.24	2596.56	2006.6	1037.4	605.92	134.08	0	0	49	300	251	151	650	549	50	0
TSS_44855	49	100	51	0	0	205	300	134	142	361	258.56	83.44	99.44	56.56	377	511	295	249	368	590	560	353.44	1241	7349.56	11255.6	5784.56	1448.6	1488.72	1453.88	2103.28	2406.24	1556.56	1094.72	799.88	700	396	100	160	514	1275.6	2032.4	1370.4	319.6	172	34	242	540	358	60	0
TSS_44860	854	1317	1752	1377	374	226	120	0	72	200	186	100	42	0	0	0	0	34	180	266	120	0	0	0	152	1140.64	1657.36	871.36	290.64	508	682.16	1661.48	4436	5446.72	2581.84	358.8	500	313	0	0	0	67	100	37.48	404.52	788.52	595.48	351	200	56
