	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_29109	9	0	0.64	91.36	187.36	108.64	12	0	0	0	0	86	175	114	83	100	42	0	0	0	58	200	142	18.56	192.44	181.44	7.56	26	100	74	0	34	100	115.52	197.48	150.48	44.52	100	146	100	12	0	0	0	74	120.48	252.52	279.52	121.6	193.88
TSS_29110	851	625.8	334.2	311	275	156.24	222.76	321.76	177.24	81	232	506.8	883.44	807.96	410.56	348.36	273.88	110.88	100.12	68	0	97	100	3	0	18.48	99.52	167.52	165.48	131.6	153.76	217.04	221.24	293.36	260	119	100	53	0	0	32	219.36	520.64	477.64	324.36	203	58	112.32	364.64	637.72
TSS_29114	88	0	0	0	0	83	100	17	22	261	304	339	274	0	79	100	121	200	100	0	0	63	100	37	0	0	0	0	0	4	100	174	100	154	377	544	592	524	361	295	591	886	782	996	1008	618	773	1162	1234	830
TSS_29116	306	156	6	51	200	246	194	103	6	0	44	100	56	0	0	60	100	40	0	0	0	0	0	13	100	87	13	100	174	186	368	371	245	583	1387	1335	749	577	558	807	606	327	696	1026	712	627	689	723	904	884
TSS_29118	93.92	332.04	360.04	313.12	440.84	361.64	470.36	730.12	651.88	460.24	459.6	487	451.72	668.24	690.8	376.12	373.28	371.48	323.64	549.88	484.88	150.12	0	0	0	144	200	56	84	147.28	314.68	709.76	501.32	53.08	218.32	917.44	1416.24	1444.32	1820.52	1855.6	1240.08	1081.36	985.84	1167.16	1122	711.92	810.6	1119.56	987.4	858.68
TSS_29119	0	0	0	0	0	0	0	0	0	0	0	0	34	106.4	260.8	423.4	433.2	370.2	172	0	83	100	17	0	0	0	19	141	184.2	148.8	96.8	84.2	269	292	231	134	0	0	0	35	151.8	572.2	713.6	547	528	245.8	68.6	209	292	368.8
TSS_29122	299.8	257.2	95.72	143.44	477.12	523.64	701.32	670.96	221.56	63	0	0	0	78	207.68	289.4	290.24	132.6	81.08	131	174	169	47	0	0	0	0.96	88.04	99.04	11.96	93.2	329.8	442.8	428.2	302	142	62	0	0	0	0	0	0	0	0	0	0	0	0	0
TSS_29123	0	70	100	30	0	4.8	112.2	195.2	87.8	0	0	12	100	88	0	0	56	142	144	58	0.2	89.8	203.4	204.6	96.4	8.4	91.2	100.8	103.2	108.4	105.6	88	0	0	2.4	89.6	97.6	10.4	77	100	23	37	100	63	0	24	115.4	275.4	331.8	200.6
TSS_29125	289	355	224.2	238	405.6	374	249.8	199.4	94.4	10.2	117.8	427	479.2	261	211.6	214.8	208.8	227.6	182.6	66	0	0	0	30	100	70	0	0	0	0	0	0	0	0	73	182	202	208	291	256.2	229.8	295.4	491.6	452.4	367.6	406	234.4	209.2	307	274.2
TSS_29127	619.88	381.72	59.2	105.64	336.36	354.92	260.12	397.84	614.08	596.6	415.44	349	446.36	655.64	634.64	440.36	250.92	453.08	417.08	46.92	0.16	131.84	199.84	68.16	0	0	0	0	0	55	285	345	287.76	488.24	345.96	324.44	712.2	886.2	848.56	632	574.6	798.96	980.44	846.68	614.96	485.04	580.96	600.44	372.76	470.2
TSS_29132	63.56	200	154.64	175.36	197.96	123.04	86.4	1.6	0	0	0	0	0	0	26	100	90.32	99.68	83.68	56.32	100	168	200	161	100	15	68.56	197.44	131.44	104.8	341.76	452.76	310.24	245	208	240.12	399.88	259.88	124.12	100	100	109.52	356.8	916.84	1074.48	754.68	554.72	419.64	312.36	292.28
TSS_29134	1163.92	642.2	200.2	124.8	293	299.88	313.8	471.28	508	403.2	185.2	139.64	200	199	299	405	605.56	658.4	394.48	250.6	250.96	162.32	148.68	142.68	131.32	145	70	0	0	0	0	0	0	0	0	0	0	0	21.12	99.88	183.4	318.72	295.36	281.04	527.48	665.28	758.72	618.24	727.16	916.24
TSS_29135	901	773	704	552	204	185	200	306	376	507	1006	983	543	389	407	408	365	576	691	360	426	720	441	207	245	116	0	0	96	161	104	39	0	0	0	0	36	182	290	379	539	527	459	339	176	73	78	392	601	747
TSS_29136	301	554	514	378	231	31	89	100	102	214.44	267.56	185.56	41.44	36	100	64	157	282	143	18	0	0	0	0	0	0	0	0	0	5.32	95.68	94.68	18	98.32	104.56	169.44	251.48	396.56	590.4	913.52	1057.88	594.76	499.84	544.96	527.2	494.12	388.92	621.64	764.84	761.76
TSS_29138	509.2	514.56	337.68	211.16	60.48	0	157.24	488.76	568	464.48	482.28	388.76	354.48	359.92	230.84	245.96	469.52	455	226.76	97.12	10.88	0	0	0	0	0	5.44	96.8	182.32	142	260.44	261.2	51.8	0	79	218	246	182	144	118	253	417	328.64	249.36	149.36	15.64	174	316	406	641.52
TSS_29139	72	0	27.36	198.64	387	400	186.28	129.72	199.36	138.64	100	33	76	100	24	0	80	100	20	2.24	170.76	197.76	29.24	0	0	0	0	23	100	77	16	108	249.08	481.92	457.92	210.08	188.96	392.4	467.68	380.6	494.36	527	402.4	616.6	552.6	276.84	646.6	836.88	753.04	669.68
TSS_29146	711.4	436.2	155.2	174	218	226	346	300	196	445	357	60.2	92.8	94.8	7.2	8.8	117.2	191.2	145.8	200	137	0	0	43	100	57	0	0	13	100	112	100	177	200	100	197	298	200	205.6	235.4	250.4	251.6	276	255.2	525.8	796.8	465.2	277	453.6	433.4
TSS_29149	0	0	0	0	50	100	109	136	168	223	173	41	0	0	0	11	100	89	65	100	35	26	100	74	0	0	0	0	117	300	479	605	605	395	201	321	768	901	692	575	338	113	100	90	157	478	877	1315	1220	807
TSS_29150	0	12	100	88	0	68	100	70	100	62	35	238	265	223	200	58	260	379	140	2	70	100	30	0	0	0	0	0	0	78	100	135	226	568	867	846	670	429	556	678	526	331	264	552	649	438	344	338	317	290
TSS_29154	91	0	84	100	24	138	282	162	10	0	0	10	165	370	235	20	100	100	45	124	155	76	0	0	0	0	8	109	192	133	174	213	226	241	372	576	434	265	409	547	445	399	504	590	436	286	499	521	383	320
TSS_29166	118	284.64	198.64	15.36	4.32	91.68	95.68	8.32	52	100	70	100	78	19	206	281	223	200	77.84	224.16	375.16	175.84	18	54	100	46	0	0	0	0	0	0	62	100	119	209.36	497.6	826.68	898.48	680.88	462.92	536.16	633.2	574.64	372.6	262.72	480.96	640.68	507.12	338.88
TSS_29171	161	125	180.84	501.16	624.12	469.88	244.04	58.96	100	45	0	42.92	192.08	222.08	107.92	35	0	0	0	0	66	209	234	91	92	200	108	0	11.52	97.48	88.48	39.52	130.84	256.16	169.16	98.36	197.48	187.88	256.12	422.48	364.52	203.88	219.12	248.24	162.76	46	150	325	331.28	439.72
TSS_29180	343.2	180.4	107.2	25	0	47	206.2	347.8	193.8	5.2	74.8	220.2	256.2	179.8	79.2	102.8	183.8	97.2	79	164	127	36	0	0	62	118	138	82	0	0	31	221.4	464.6	278.6	83.4	174.6	219.4	125.4	11.8	96.8	89.8	60.2	100	43	0	0	0	0	0	0
TSS_29184	0	0	0	0	0	0	0	0	0	0	0	3	92	97	94	100	14	0	86	200	158	159	243	141	13	0	0	0	0	0	0	0	0	0	117	284	183	16	0	0	86	100	76	140	227	160	11	85	100	152
TSS_29187	103.52	195.76	96.48	2.88	0	24	100	76	0	143	285	157	15	0	0	85	100	15	0	0	0	54	100	46	0	0	0	116	300	192.16	95.84	91.84	96.16	100	8	14.28	104.84	180.6	167.16	105.12	144.84	357.16	283.16	115.72	409.12	427.12	129.16	261.72	400.72	238.28
TSS_29189	83.6	159.4	182.4	40.6	0	34	100	126	100	63	100	77	0	0	0	0	94	100	61	100	45	0	0	0	0	40	100	60	0	0	0	0	0	0	0	31	100	153	219	305	181	11	0	79.8	196.2	330.2	303.8	90	0	103.4
TSS_29190	58.64	82.36	99.36	17.64	64.4	237.8	401.4	362.2	137.24	125.96	196.96	74.04	7.08	189.92	192.92	10.08	0	0	0	78	100	22	0	0	0	0	0	0	21	103.68	231.32	296.32	150.72	144.64	311.28	255.36	169.68	318.56	408.44	375.44	427.56	596	620.2	728	1191.56	1012.04	415.8	441.4	492.44	578.56
TSS_29194	488	615.8	410.8	159.4	226.8	502.8	402.2	183	92	3	0	0	0	47	100	53	0	0	0	0	64	200	227	100	9	0	86	100	14	0	0	0	0	12	156	324	244.8	159.2	179.2	144.8	120	126	165	138	156	276	332	329	328	316.4
TSS_29197	100	82	0	0	0	0	0	57	100	59	100	128	100	127.8	212.2	229.8	175.2	98.4	12.6	0	0	68	188	216	112	87	200	213	253	295	147	133	200	147	173.6	337.4	226.4	3.6	10.4	185.6	189.6	14.4	0	6.8	174.2	193.2	77.8	100	48	0
TSS_29202	61	0	0	0	0	0	0	16.8	329.2	483.2	170.8	0	0	0	0	5.2	161.8	236.8	138.2	58	58	100	42	0	0	0	0	0	0	0	2	88	98	12	0	11	151.6	288.4	148.4	5	176.6	195.6	23.4	2.4	88.6	97.6	11.4	0	67.6	284.4
TSS_29204	25	0	54	100	46	0	0	2.16	206.84	297.84	122.16	100	71	73	200	167	100	60	1.08	85.92	98.92	14.08	0	0	0	0	0	0	0	161	200	51.96	191.04	268.52	416.48	666.52	592.48	254.16	135.84	312.32	578.68	596.52	448.4	492.08	337.08	236.56	626.36	859.36	573.64	308
TSS_29205	131	168	69	0	84	100	16	0	0	0	39	100	61	0	13	100	87	51	190.08	238.92	117.72	105.28	92.2	4.8	0	0	0	0	0	0	0	0	0	102	266.44	363.4	498.72	341.36	140.52	264.32	591.36	618.36	284.88	214.88	343.84	561.68	477.36	224.88	96.88	9.12
TSS_29207	59	0	0	141	275	299	225	60	0	0	0	61	100	39	102	200	144	148	154	52	32.12	194.88	210.88	105.12	57	0	0	59	100	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSS_29208	176	101.52	188.48	134.84	426.12	709.68	485.4	253.96	179	166.2	257.4	397.2	263.6	62.6	82	167	232	233	162	100	25.68	86.32	98.32	13.68	0	0	0	28	100	72	0	0	63	136.08	231.12	256.72	233.88	207.2	145	108	215.32	387.68	258.88	406.12	476.88	299.88	372.96	431.24	502.24	417
TSS_29213	298.88	197.44	65.84	0	0	0	0	0	0	0	0	0	35	100	93	105.04	415.96	545.96	350.04	249	106	0	66	100	34	1.68	90.32	130.32	109.68	68	0	0	0	1.12	125.88	198.88	74.12	16.12	219.88	395.88	343.12	197.52	133.48	143.48	106.32	238.2	297.2	108.8	52.36	267.64
TSS_29217	184.68	105.32	37	0	0	0	0	0	48	100	116.64	296.36	261.36	103.64	122	170	257.76	225.24	218.8	304.2	175.44	0.56	92	100	8	0	31	179	257	121	42	105.76	244.24	296.4	460.6	533	359	164.84	6.16	3.6	193.4	378.68	306.32	315.6	590.28	940.24	764	373.04	520.56	648.12
